Date,CPI_Inflation
2019Q1,107.8
2019Q2,107.8
2019Q3,107.8
2019Q4,107.8
2020Q1,108.7
2020Q2,108.7
2020Q3,108.7
2020Q4,108.7
2021Q1,111.6
2021Q2,111.6
2021Q3,111.6
2021Q4,111.6
2022Q1,121.7
2022Q2,121.7
2022Q3,121.7
2022Q4,121.7
2023Q1,130.5
2023Q2,130.5
2023Q3,130.5
2023Q4,130.5
2024Q1,133.9
2024Q2,133.9
2024Q3,133.9
2024Q4,133.9
2025Q1,133.9
2025Q2,133.9
2025Q3,133.9
2025Q4,133.9
