Date,CPI_Inflation
2019Q1,107.80588235294118
2019Q2,107.80588235294118
2019Q3,107.80588235294118
2019Q4,107.80588235294118
2020Q1,108.74117647058823
2020Q2,108.74117647058823
2020Q3,108.74117647058823
2020Q4,108.74117647058823
2021Q1,111.55882352941177
2021Q2,111.55882352941177
2021Q3,111.55882352941177
2021Q4,111.55882352941177
2022Q1,121.66470588235295
2022Q2,121.66470588235295
2022Q3,121.66470588235295
2022Q4,121.66470588235295
2023Q1,130.54117647058823
2023Q2,130.54117647058823
2023Q3,130.54117647058823
2023Q4,130.54117647058823
2024Q1,133.85882352941175
2024Q2,133.85882352941175
2024Q3,133.85882352941175
2024Q4,133.85882352941175
2025Q1,136.77142857142857
2025Q2,136.77142857142857
2025Q3,136.77142857142857
2025Q4,136.77142857142857
